channelsToEnergies	channelsToEnergies_intrp
502.56802	502.82538
502.68274	502.94012
502.79752	503.05493
502.91235	503.1698
503.02722	503.2847
503.14215	503.39966
503.25714	503.51465
503.37216	503.6297
503.48724	503.74481
503.60239	503.85999
503.71759	503.97522
503.83282	504.09048
503.94812	504.20581
504.06348	504.32117
504.17886	504.43661
504.29434	504.55209
504.40982	504.6676
504.52539	504.7832
504.64102	504.89886
504.75668	505.01456
504.87241	505.13031
504.98816	505.24609
505.104	505.36194
505.21988	505.47784
505.33582	505.59381
505.45178	505.70984
505.56784	505.8259
505.68393	505.94202
505.80008	506.05817
505.91626	506.17441
506.03253	506.29071
506.14883	506.40704
506.2652	506.52341
506.38159	506.63983
506.49808	506.75635
506.61459	506.87289
506.73117	506.9895
506.84778	507.10614
506.96448	507.22284
507.08121	507.3396
507.198	507.45642
507.31482	507.5733
507.43173	507.69022
507.54868	507.80719
507.66568	507.92422
507.78275	508.04132
507.89984	508.15845
508.017	508.27563
508.13425	508.39288
508.2515	508.51019
508.36884	508.62753
508.48621	508.74493
508.60364	508.8624
508.72113	508.97992
508.83868	509.0975
508.9563	509.21515
509.07394	509.33282
509.19165	509.45056
509.30942	509.56833
509.42722	509.68616
509.5451	509.80408
509.66302	509.92203
509.78101	510.04004
509.89905	510.15808
510.01712	510.27618
510.13525	510.39438
510.25348	510.5126
510.3717	510.63086
510.49002	510.74921
510.6084	510.86761
510.72681	510.98605
510.84528	511.10455
510.96381	511.22311
511.0824	511.34174
511.20102	511.46039
511.31973	511.5791
511.43848	511.69788
511.55728	511.81671
511.67615	511.93561
511.79504	512.05457
511.914	512.17352
512.03302	512.2926
512.1521	512.41168
512.27124	512.53088
512.39044	512.65009
512.5097	512.76935
512.62897	512.88867
512.74835	513.00806
512.86774	513.1275
512.98724	513.24701
513.10675	513.36658
513.22632	513.48615
513.34595	513.60583
513.46564	513.72552
513.58539	513.84534
513.7052	513.96515
513.82507	514.08508
513.94501	514.20496
514.06494	514.32495
514.185	514.44507
514.30505	514.56512
514.42517	514.6853
514.54541	514.80554
514.66565	514.92578
514.78595	515.04614
514.90631	515.1665
515.02673	515.28699
515.14722	515.40747
515.26776	515.52808
515.38831	515.64868
515.50897	515.76935
515.6297	515.89008
515.75043	516.01086
515.87122	516.13171
515.99213	516.25256
516.11304	516.37354
516.23401	516.49451
516.35504	516.6156
516.47614	516.73669
516.59729	516.85791
516.71851	516.97913
516.83978	517.10046
516.96112	517.2218
517.08252	517.34326
517.20392	517.46472
517.32544	517.58624
517.44702	517.70782
517.5686	517.82947
517.69025	517.95117
517.81201	518.07288
517.93378	518.1947
518.0556	518.31653
518.17749	518.43848
518.29944	518.56049
518.42151	518.6825
518.54352	518.80457
518.66565	518.92676
518.78784	519.04895
518.9101	519.17126
519.03241	519.29358
519.15472	519.41595
519.27716	519.53845
519.39966	519.66089
519.52216	519.78345
519.64478	519.90613
519.7674	520.02875
519.89008	520.15149
520.01288	520.27429
520.13568	520.39709
520.25854	520.52002
520.38147	520.64301
