SU
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\ScanFiles\Zakaria Long Pickle RIXS\CoL3.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240705\CCD Scan 17175
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Sample Current	Beam Current	Total Flux	Counts	Background	Filename
20:17:48	11.00000000	778.50219336	29757430.00000000	662775.00000000	10195507.00000000	262475.00000000	0.00000000	0.00000000	0.00000000	972691.00000000	335.00000000	cox17175-00011
20:22:55	12.00000000	778.70154998	29853793.00000000	663647.00000000	10214946.00000000	261030.00000000	0.00000000	0.00000000	0.00000000	1095998.00000000	335.00000000	cox17175-00012
20:28:02	13.00000000	778.90554308	29868419.00000000	663228.00000000	10360238.00000000	264399.00000000	0.00000000	0.00000000	0.00000000	1206134.00000000	335.00000000	cox17175-00013
20:33:08	14.00000000	779.10964309	29885493.00000000	664220.00000000	10711655.00000000	275664.00000000	0.00000000	0.00000000	0.00000000	1338716.00000000	335.00000000	cox17175-00014
20:38:14	15.00000000	779.30477196	29968838.00000000	664841.00000000	11246205.00000000	284386.00000000	0.00000000	0.00000000	0.00000000	1532221.00000000	336.00000000	cox17175-00015
20:43:20	16.00000000	779.50453993	29946439.00000000	662629.00000000	11841616.00000000	290030.00000000	0.00000000	0.00000000	0.00000000	1771364.00000000	335.00000000	cox17175-00016
20:48:27	17.00000000	779.70441034	29992527.00000000	661251.00000000	12223724.00000000	293136.00000000	0.00000000	0.00000000	0.00000000	1938127.00000000	335.00000000	cox17175-00017
20:53:33	18.00000000	779.90438329	30022042.00000000	661231.00000000	12308894.00000000	290975.00000000	0.00000000	0.00000000	0.00000000	2040932.00000000	335.00000000	cox17175-00018
20:58:40	19.00000000	780.10900721	30001344.00000000	662131.00000000	12672519.00000000	291382.00000000	0.00000000	0.00000000	0.00000000	2159666.00000000	335.00000000	cox17175-00019
21:03:47	20.00000000	780.29553584	29946635.00000000	658924.00000000	12661389.00000000	288764.00000000	0.00000000	0.00000000	0.00000000	2173718.00000000	335.00000000	cox17175-00020
21:08:54	21.00000000	780.49581218	29917408.00000000	659378.00000000	12379069.00000000	283666.00000000	0.00000000	0.00000000	0.00000000	2150309.00000000	335.00000000	cox17175-00021
21:14:01	22.00000000	780.70074663	29804043.00000000	658334.00000000	12316858.00000000	284044.00000000	0.00000000	0.00000000	0.00000000	2065536.00000000	335.00000000	cox17175-00022
21:19:08	23.00000000	780.91034645	29851603.00000000	657951.00000000	12357374.00000000	288264.00000000	0.00000000	0.00000000	0.00000000	2025361.00000000	335.00000000	cox17175-00023
21:24:14	24.00000000	781.10637853	29896163.00000000	656073.00000000	12018450.00000000	285071.00000000	0.00000000	0.00000000	0.00000000	1919226.00000000	334.00000000	cox17175-00024
21:29:21	25.00000000	781.31163380	29831884.00000000	653413.00000000	11431727.00000000	275797.00000000	0.00000000	0.00000000	0.00000000	1759213.00000000	335.00000000	cox17175-00025
21:34:28	26.00000000	781.50786744	29795736.00000000	650445.00000000	10883774.00000000	267375.00000000	0.00000000	0.00000000	0.00000000	1591111.00000000	335.00000000	cox17175-00026
21:39:34	27.00000000	781.70419968	29842665.00000000	649002.00000000	10495558.00000000	263134.00000000	0.00000000	0.00000000	0.00000000	1488230.00000000	335.00000000	cox17175-00027
21:44:40	28.00000000	781.90519994	29877688.00000000	649763.00000000	10190697.00000000	260226.00000000	0.00000000	0.00000000	0.00000000	1438390.00000000	334.00000000	cox17175-00028
21:49:47	29.00000000	782.11087533	29933966.00000000	648625.00000000	9982631.00000000	257656.00000000	0.00000000	0.00000000	0.00000000	1360276.00000000	335.00000000	cox17175-00029
21:54:53	30.00000000	782.30751073	29941692.00000000	647737.00000000	9805438.00000000	255244.00000000	0.00000000	0.00000000	0.00000000	1322406.00000000	334.00000000	cox17175-00030
21:59:59	31.00000000	782.50424504	29941664.00000000	646822.00000000	9669144.00000000	253800.00000000	0.00000000	0.00000000	0.00000000	1284799.00000000	335.00000000	cox17175-00031
22:05:07	32.00000000	782.91633500	29996009.00000000	651514.00000000	9510203.00000000	252702.00000000	0.00000000	0.00000000	0.00000000	1223626.00000000	335.00000000	cox17175-00032
22:10:15	33.00000000	783.29675845	29963721.00000000	649600.00000000	9345308.00000000	251365.00000000	0.00000000	0.00000000	0.00000000	1196011.00000000	334.00000000	cox17175-00033
22:15:23	34.00000000	783.69591264	30044563.00000000	650467.00000000	9005256.00000000	248674.00000000	0.00000000	0.00000000	0.00000000	1103677.00000000	334.00000000	cox17175-00034
